"","Country Name","Country Code","Indicator Name","Indicator Code","year","value"
"42","Congo, Dem. Rep.","COD","Population growth (annual %)","SP.POP.GROW","1960",NA
"43","Congo, Rep.","COG","Population growth (annual %)","SP.POP.GROW","1960",NA
"44","Colombia","COL","Population growth (annual %)","SP.POP.GROW","1960",NA
"45","Comoros","COM","Population growth (annual %)","SP.POP.GROW","1960",NA
"46","Cabo Verde","CPV","Population growth (annual %)","SP.POP.GROW","1960",NA
"47","Costa Rica","CRI","Population growth (annual %)","SP.POP.GROW","1960",NA
"48","Caribbean small states","CSS","Population growth (annual %)","SP.POP.GROW","1960",NA
"49","Cuba","CUB","Population growth (annual %)","SP.POP.GROW","1960",NA
"50","Curacao","CUW","Population growth (annual %)","SP.POP.GROW","1960",NA
"51","Cayman Islands","CYM","Population growth (annual %)","SP.POP.GROW","1960",NA
"52","Cyprus","CYP","Population growth (annual %)","SP.POP.GROW","1960",NA
"53","Czech Republic","CZE","Population growth (annual %)","SP.POP.GROW","1960",NA
"54","Germany","DEU","Population growth (annual %)","SP.POP.GROW","1960",NA
"55","Djibouti","DJI","Population growth (annual %)","SP.POP.GROW","1960",NA
"56","Dominica","DMA","Population growth (annual %)","SP.POP.GROW","1960",NA
"57","Denmark","DNK","Population growth (annual %)","SP.POP.GROW","1960",NA
"58","Dominican Republic","DOM","Population growth (annual %)","SP.POP.GROW","1960",NA
"59","Algeria","DZA","Population growth (annual %)","SP.POP.GROW","1960",NA
"60","East Asia & Pacific (excluding high income)","EAP","Population growth (annual %)","SP.POP.GROW","1960",NA
"61","Early-demographic dividend","EAR","Population growth (annual %)","SP.POP.GROW","1960",NA
"62","East Asia & Pacific","EAS","Population growth (annual %)","SP.POP.GROW","1960",NA
"63","Europe & Central Asia (excluding high income)","ECA","Population growth (annual %)","SP.POP.GROW","1960",NA
"64","Europe & Central Asia","ECS","Population growth (annual %)","SP.POP.GROW","1960",NA
"65","Ecuador","ECU","Population growth (annual %)","SP.POP.GROW","1960",NA
"66","Egypt, Arab Rep.","EGY","Population growth (annual %)","SP.POP.GROW","1960",NA
"67","Euro area","EMU","Population growth (annual %)","SP.POP.GROW","1960",NA
"68","Eritrea","ERI","Population growth (annual %)","SP.POP.GROW","1960",NA
"69","Spain","ESP","Population growth (annual %)","SP.POP.GROW","1960",NA
"70","Estonia","EST","Population growth (annual %)","SP.POP.GROW","1960",NA
"71","Ethiopia","ETH","Population growth (annual %)","SP.POP.GROW","1960",NA
"72","European Union","EUU","Population growth (annual %)","SP.POP.GROW","1960",NA
"73","Fragile and conflict affected situations","FCS","Population growth (annual %)","SP.POP.GROW","1960",NA
"74","Finland","FIN","Population growth (annual %)","SP.POP.GROW","1960",NA
"75","Fiji","FJI","Population growth (annual %)","SP.POP.GROW","1960",NA
"76","France","FRA","Population growth (annual %)","SP.POP.GROW","1960",NA
"77","Faroe Islands","FRO","Population growth (annual %)","SP.POP.GROW","1960",NA
"78","Micronesia, Fed. Sts.","FSM","Population growth (annual %)","SP.POP.GROW","1960",NA
"79","Gabon","GAB","Population growth (annual %)","SP.POP.GROW","1960",NA
"80","United Kingdom","GBR","Population growth (annual %)","SP.POP.GROW","1960",NA
"81","Georgia","GEO","Population growth (annual %)","SP.POP.GROW","1960",NA
"82","Ghana","GHA","Population growth (annual %)","SP.POP.GROW","1960",NA
"83","Gibraltar","GIB","Population growth (annual %)","SP.POP.GROW","1960",NA
"84","Guinea","GIN","Population growth (annual %)","SP.POP.GROW","1960",NA
"85","Gambia, The","GMB","Population growth (annual %)","SP.POP.GROW","1960",NA
"86","Guinea-Bissau","GNB","Population growth (annual %)","SP.POP.GROW","1960",NA
"87","Equatorial Guinea","GNQ","Population growth (annual %)","SP.POP.GROW","1960",NA
"88","Greece","GRC","Population growth (annual %)","SP.POP.GROW","1960",NA
"89","Grenada","GRD","Population growth (annual %)","SP.POP.GROW","1960",NA
"90","Greenland","GRL","Population growth (annual %)","SP.POP.GROW","1960",NA
"91","Guatemala","GTM","Population growth (annual %)","SP.POP.GROW","1960",NA
"92","Guam","GUM","Population growth (annual %)","SP.POP.GROW","1960",NA
"93","Guyana","GUY","Population growth (annual %)","SP.POP.GROW","1960",NA
"94","High income","HIC","Population growth (annual %)","SP.POP.GROW","1960",NA
"95","Hong Kong SAR, China","HKG","Population growth (annual %)","SP.POP.GROW","1960",NA
"96","Honduras","HND","Population growth (annual %)","SP.POP.GROW","1960",NA
"97","Heavily indebted poor countries (HIPC)","HPC","Population growth (annual %)","SP.POP.GROW","1960",NA
"98","Croatia","HRV","Population growth (annual %)","SP.POP.GROW","1960",NA
"99","Haiti","HTI","Population growth (annual %)","SP.POP.GROW","1960",NA
"100","Hungary","HUN","Population growth (annual %)","SP.POP.GROW","1960",NA
"101","IBRD only","IBD","Population growth (annual %)","SP.POP.GROW","1960",NA
"102","IDA & IBRD total","IBT","Population growth (annual %)","SP.POP.GROW","1960",NA
"103","IDA total","IDA","Population growth (annual %)","SP.POP.GROW","1960",NA
"104","IDA blend","IDB","Population growth (annual %)","SP.POP.GROW","1960",NA
"105","Indonesia","IDN","Population growth (annual %)","SP.POP.GROW","1960",NA
"106","IDA only","IDX","Population growth (annual %)","SP.POP.GROW","1960",NA
"107","Isle of Man","IMN","Population growth (annual %)","SP.POP.GROW","1960",NA
"108","India","IND","Population growth (annual %)","SP.POP.GROW","1960",NA
"109","Not classified","INX","Population growth (annual %)","SP.POP.GROW","1960",NA
"110","Ireland","IRL","Population growth (annual %)","SP.POP.GROW","1960",NA
"111","Iran, Islamic Rep.","IRN","Population growth (annual %)","SP.POP.GROW","1960",NA
"112","Iraq","IRQ","Population growth (annual %)","SP.POP.GROW","1960",NA
"113","Iceland","ISL","Population growth (annual %)","SP.POP.GROW","1960",NA
"114","Israel","ISR","Population growth (annual %)","SP.POP.GROW","1960",NA
"115","Italy","ITA","Population growth (annual %)","SP.POP.GROW","1960",NA
"116","Jamaica","JAM","Population growth (annual %)","SP.POP.GROW","1960",NA
"117","Jordan","JOR","Population growth (annual %)","SP.POP.GROW","1960",NA
"118","Japan","JPN","Population growth (annual %)","SP.POP.GROW","1960",NA
"119","Kazakhstan","KAZ","Population growth (annual %)","SP.POP.GROW","1960",NA
"120","Kenya","KEN","Population growth (annual %)","SP.POP.GROW","1960",NA
"121","Kyrgyz Republic","KGZ","Population growth (annual %)","SP.POP.GROW","1960",NA
"122","Cambodia","KHM","Population growth (annual %)","SP.POP.GROW","1960",NA
"123","Kiribati","KIR","Population growth (annual %)","SP.POP.GROW","1960",NA
"124","St. Kitts and Nevis","KNA","Population growth (annual %)","SP.POP.GROW","1960",NA
"125","Korea, Rep.","KOR","Population growth (annual %)","SP.POP.GROW","1960",NA
"126","Kuwait","KWT","Population growth (annual %)","SP.POP.GROW","1960",NA
"127","Latin America & Caribbean (excluding high income)","LAC","Population growth (annual %)","SP.POP.GROW","1960",NA
"128","Lao PDR","LAO","Population growth (annual %)","SP.POP.GROW","1960",NA
"129","Lebanon","LBN","Population growth (annual %)","SP.POP.GROW","1960",NA
"130","Liberia","LBR","Population growth (annual %)","SP.POP.GROW","1960",NA
"131","Libya","LBY","Population growth (annual %)","SP.POP.GROW","1960",NA
"132","St. Lucia","LCA","Population growth (annual %)","SP.POP.GROW","1960",NA
"133","Latin America & Caribbean","LCN","Population growth (annual %)","SP.POP.GROW","1960",NA
"134","Least developed countries: UN classification","LDC","Population growth (annual %)","SP.POP.GROW","1960",NA
"135","Low income","LIC","Population growth (annual %)","SP.POP.GROW","1960",NA
"136","Liechtenstein","LIE","Population growth (annual %)","SP.POP.GROW","1960",NA
"137","Sri Lanka","LKA","Population growth (annual %)","SP.POP.GROW","1960",NA
"138","Lower middle income","LMC","Population growth (annual %)","SP.POP.GROW","1960",NA
"139","Low & middle income","LMY","Population growth (annual %)","SP.POP.GROW","1960",NA
"140","Lesotho","LSO","Population growth (annual %)","SP.POP.GROW","1960",NA
"141","Late-demographic dividend","LTE","Population growth (annual %)","SP.POP.GROW","1960",NA
"142","Lithuania","LTU","Population growth (annual %)","SP.POP.GROW","1960",NA
"143","Luxembourg","LUX","Population growth (annual %)","SP.POP.GROW","1960",NA
"144","Latvia","LVA","Population growth (annual %)","SP.POP.GROW","1960",NA
"145","Macao SAR, China","MAC","Population growth (annual %)","SP.POP.GROW","1960",NA
"146","St. Martin (French part)","MAF","Population growth (annual %)","SP.POP.GROW","1960",NA
"147","Morocco","MAR","Population growth (annual %)","SP.POP.GROW","1960",NA
"148","Monaco","MCO","Population growth (annual %)","SP.POP.GROW","1960",NA
"149","Moldova","MDA","Population growth (annual %)","SP.POP.GROW","1960",NA
"150","Madagascar","MDG","Population growth (annual %)","SP.POP.GROW","1960",NA
"151","Maldives","MDV","Population growth (annual %)","SP.POP.GROW","1960",NA
"152","Middle East & North Africa","MEA","Population growth (annual %)","SP.POP.GROW","1960",NA
"153","Mexico","MEX","Population growth (annual %)","SP.POP.GROW","1960",NA
"154","Marshall Islands","MHL","Population growth (annual %)","SP.POP.GROW","1960",NA
"155","Middle income","MIC","Population growth (annual %)","SP.POP.GROW","1960",NA
"156","North Macedonia","MKD","Population growth (annual %)","SP.POP.GROW","1960",NA
"157","Mali","MLI","Population growth (annual %)","SP.POP.GROW","1960",NA
"158","Malta","MLT","Population growth (annual %)","SP.POP.GROW","1960",NA
"159","Myanmar","MMR","Population growth (annual %)","SP.POP.GROW","1960",NA
"160","Middle East & North Africa (excluding high income)","MNA","Population growth (annual %)","SP.POP.GROW","1960",NA
"161","Montenegro","MNE","Population growth (annual %)","SP.POP.GROW","1960",NA
"162","Mongolia","MNG","Population growth (annual %)","SP.POP.GROW","1960",NA
"163","Northern Mariana Islands","MNP","Population growth (annual %)","SP.POP.GROW","1960",NA
"164","Mozambique","MOZ","Population growth (annual %)","SP.POP.GROW","1960",NA
"165","Mauritania","MRT","Population growth (annual %)","SP.POP.GROW","1960",NA
"166","Mauritius","MUS","Population growth (annual %)","SP.POP.GROW","1960",NA
"167","Malawi","MWI","Population growth (annual %)","SP.POP.GROW","1960",NA
"168","Malaysia","MYS","Population growth (annual %)","SP.POP.GROW","1960",NA
"169","North America","NAC","Population growth (annual %)","SP.POP.GROW","1960",NA
"170","Namibia","NAM","Population growth (annual %)","SP.POP.GROW","1960",NA
"171","New Caledonia","NCL","Population growth (annual %)","SP.POP.GROW","1960",NA
"172","Niger","NER","Population growth (annual %)","SP.POP.GROW","1960",NA
"173","Nigeria","NGA","Population growth (annual %)","SP.POP.GROW","1960",NA
"174","Nicaragua","NIC","Population growth (annual %)","SP.POP.GROW","1960",NA
"175","Netherlands","NLD","Population growth (annual %)","SP.POP.GROW","1960",NA
"176","Norway","NOR","Population growth (annual %)","SP.POP.GROW","1960",NA
"177","Nepal","NPL","Population growth (annual %)","SP.POP.GROW","1960",NA
"178","Nauru","NRU","Population growth (annual %)","SP.POP.GROW","1960",NA
"179","New Zealand","NZL","Population growth (annual %)","SP.POP.GROW","1960",NA
"180","OECD members","OED","Population growth (annual %)","SP.POP.GROW","1960",NA
"181","Oman","OMN","Population growth (annual %)","SP.POP.GROW","1960",NA
"182","Other small states","OSS","Population growth (annual %)","SP.POP.GROW","1960",NA
"183","Pakistan","PAK","Population growth (annual %)","SP.POP.GROW","1960",NA
"184","Panama","PAN","Population growth (annual %)","SP.POP.GROW","1960",NA
"185","Peru","PER","Population growth (annual %)","SP.POP.GROW","1960",NA
"186","Philippines","PHL","Population growth (annual %)","SP.POP.GROW","1960",NA
"187","Palau","PLW","Population growth (annual %)","SP.POP.GROW","1960",NA
"188","Papua New Guinea","PNG","Population growth (annual %)","SP.POP.GROW","1960",NA
"189","Poland","POL","Population growth (annual %)","SP.POP.GROW","1960",NA
"190","Pre-demographic dividend","PRE","Population growth (annual %)","SP.POP.GROW","1960",NA
"191","Puerto Rico","PRI","Population growth (annual %)","SP.POP.GROW","1960",NA
"192","Korea, Dem. People’s Rep.","PRK","Population growth (annual %)","SP.POP.GROW","1960",NA
"193","Portugal","PRT","Population growth (annual %)","SP.POP.GROW","1960",NA
"194","Paraguay","PRY","Population growth (annual %)","SP.POP.GROW","1960",NA
"195","West Bank and Gaza","PSE","Population growth (annual %)","SP.POP.GROW","1960",NA
"196","Pacific island small states","PSS","Population growth (annual %)","SP.POP.GROW","1960",NA
"197","Post-demographic dividend","PST","Population growth (annual %)","SP.POP.GROW","1960",NA
"198","French Polynesia","PYF","Population growth (annual %)","SP.POP.GROW","1960",NA
"199","Qatar","QAT","Population growth (annual %)","SP.POP.GROW","1960",NA
"200","Romania","ROU","Population growth (annual %)","SP.POP.GROW","1960",NA
"201","Russian Federation","RUS","Population growth (annual %)","SP.POP.GROW","1960",NA
"202","Rwanda","RWA","Population growth (annual %)","SP.POP.GROW","1960",NA
"203","South Asia","SAS","Population growth (annual %)","SP.POP.GROW","1960",NA
"204","Saudi Arabia","SAU","Population growth (annual %)","SP.POP.GROW","1960",NA
"205","Sudan","SDN","Population growth (annual %)","SP.POP.GROW","1960",NA
"206","Senegal","SEN","Population growth (annual %)","SP.POP.GROW","1960",NA
"207","Singapore","SGP","Population growth (annual %)","SP.POP.GROW","1960",NA
"208","Solomon Islands","SLB","Population growth (annual %)","SP.POP.GROW","1960",NA
"209","Sierra Leone","SLE","Population growth (annual %)","SP.POP.GROW","1960",NA
"210","El Salvador","SLV","Population growth (annual %)","SP.POP.GROW","1960",NA
"211","San Marino","SMR","Population growth (annual %)","SP.POP.GROW","1960",NA
"212","Somalia","SOM","Population growth (annual %)","SP.POP.GROW","1960",NA
"213","Serbia","SRB","Population growth (annual %)","SP.POP.GROW","1960",NA
"214","Sub-Saharan Africa (excluding high income)","SSA","Population growth (annual %)","SP.POP.GROW","1960",NA
"215","South Sudan","SSD","Population growth (annual %)","SP.POP.GROW","1960",NA
"216","Sub-Saharan Africa","SSF","Population growth (annual %)","SP.POP.GROW","1960",NA
"217","Small states","SST","Population growth (annual %)","SP.POP.GROW","1960",NA
"218","Sao Tome and Principe","STP","Population growth (annual %)","SP.POP.GROW","1960",NA
"219","Suriname","SUR","Population growth (annual %)","SP.POP.GROW","1960",NA
"220","Slovak Republic","SVK","Population growth (annual %)","SP.POP.GROW","1960",NA
"221","Slovenia","SVN","Population growth (annual %)","SP.POP.GROW","1960",NA
"222","Sweden","SWE","Population growth (annual %)","SP.POP.GROW","1960",NA
"223","Eswatini","SWZ","Population growth (annual %)","SP.POP.GROW","1960",NA
"224","Sint Maarten (Dutch part)","SXM","Population growth (annual %)","SP.POP.GROW","1960",NA
"225","Seychelles","SYC","Population growth (annual %)","SP.POP.GROW","1960",NA
"226","Syrian Arab Republic","SYR","Population growth (annual %)","SP.POP.GROW","1960",NA
"227","Turks and Caicos Islands","TCA","Population growth (annual %)","SP.POP.GROW","1960",NA
"228","Chad","TCD","Population growth (annual %)","SP.POP.GROW","1960",NA
"229","East Asia & Pacific (IDA & IBRD countries)","TEA","Population growth (annual %)","SP.POP.GROW","1960",NA
"230","Europe & Central Asia (IDA & IBRD countries)","TEC","Population growth (annual %)","SP.POP.GROW","1960",NA
"231","Togo","TGO","Population growth (annual %)","SP.POP.GROW","1960",NA
"232","Thailand","THA","Population growth (annual %)","SP.POP.GROW","1960",NA
"233","Tajikistan","TJK","Population growth (annual %)","SP.POP.GROW","1960",NA
"234","Turkmenistan","TKM","Population growth (annual %)","SP.POP.GROW","1960",NA
"235","Latin America & the Caribbean (IDA & IBRD countries)","TLA","Population growth (annual %)","SP.POP.GROW","1960",NA
"236","Timor-Leste","TLS","Population growth (annual %)","SP.POP.GROW","1960",NA
"237","Middle East & North Africa (IDA & IBRD countries)","TMN","Population growth (annual %)","SP.POP.GROW","1960",NA
"238","Tonga","TON","Population growth (annual %)","SP.POP.GROW","1960",NA
"239","South Asia (IDA & IBRD)","TSA","Population growth (annual %)","SP.POP.GROW","1960",NA
"240","Sub-Saharan Africa (IDA & IBRD countries)","TSS","Population growth (annual %)","SP.POP.GROW","1960",NA
"241","Trinidad and Tobago","TTO","Population growth (annual %)","SP.POP.GROW","1960",NA
"242","Tunisia","TUN","Population growth (annual %)","SP.POP.GROW","1960",NA
"243","Turkey","TUR","Population growth (annual %)","SP.POP.GROW","1960",NA
"244","Tuvalu","TUV","Population growth (annual %)","SP.POP.GROW","1960",NA
"245","Tanzania","TZA","Population growth (annual %)","SP.POP.GROW","1960",NA
"246","Uganda","UGA","Population growth (annual %)","SP.POP.GROW","1960",NA
"247","Ukraine","UKR","Population growth (annual %)","SP.POP.GROW","1960",NA
"248","Upper middle income","UMC","Population growth (annual %)","SP.POP.GROW","1960",NA
"249","Uruguay","URY","Population growth (annual %)","SP.POP.GROW","1960",NA
"250","United States","USA","Population growth (annual %)","SP.POP.GROW","1960",NA
"251","Uzbekistan","UZB","Population growth (annual %)","SP.POP.GROW","1960",NA
"252","St. Vincent and the Grenadines","VCT","Population growth (annual %)","SP.POP.GROW","1960",NA
"253","Venezuela, RB","VEN","Population growth (annual %)","SP.POP.GROW","1960",NA
"254","British Virgin Islands","VGB","Population growth (annual %)","SP.POP.GROW","1960",NA
"255","Virgin Islands (U.S.)","VIR","Population growth (annual %)","SP.POP.GROW","1960",NA
"256","Vietnam","VNM","Population growth (annual %)","SP.POP.GROW","1960",NA
"257","Vanuatu","VUT","Population growth (annual %)","SP.POP.GROW","1960",NA
"258","World","WLD","Population growth (annual %)","SP.POP.GROW","1960",NA
"259","Samoa","WSM","Population growth (annual %)","SP.POP.GROW","1960",NA
"260","Kosovo","XKX","Population growth (annual %)","SP.POP.GROW","1960",NA
"261","Yemen, Rep.","YEM","Population growth (annual %)","SP.POP.GROW","1960",NA
"262","South Africa","ZAF","Population growth (annual %)","SP.POP.GROW","1960",NA
"263","Zambia","ZMB","Population growth (annual %)","SP.POP.GROW","1960",NA
"264","Zimbabwe","ZWE","Population growth (annual %)","SP.POP.GROW","1960",NA
"265","Aruba","ABW","Population growth (annual %)","SP.POP.GROW","1961",2.238143931
"266","Afghanistan","AFG","Population growth (annual %)","SP.POP.GROW","1961",1.898475653
"267","Angola","AGO","Population growth (annual %)","SP.POP.GROW","1961",1.393362766
"268","Albania","ALB","Population growth (annual %)","SP.POP.GROW","1961",3.120855371
"269","Andorra","AND","Population growth (annual %)","SP.POP.GROW","1961",6.941532095
"270","Arab World","ARB","Population growth (annual %)","SP.POP.GROW","1961",2.740584144
"271","United Arab Emirates","ARE","Population growth (annual %)","SP.POP.GROW","1961",8.677690744
"272","Argentina","ARG","Population growth (annual %)","SP.POP.GROW","1961",1.624707689
"273","Armenia","ARM","Population growth (annual %)","SP.POP.GROW","1961",3.531700015
"274","American Samoa","ASM","Population growth (annual %)","SP.POP.GROW","1961",2.352471898
"275","Antigua and Barbuda","ATG","Population growth (annual %)","SP.POP.GROW","1961",1.59443322
"276","Australia","AUS","Population growth (annual %)","SP.POP.GROW","1961",1.989740046
"277","Austria","AUT","Population growth (annual %)","SP.POP.GROW","1961",0.548472356
"278","Azerbaijan","AZE","Population growth (annual %)","SP.POP.GROW","1961",3.405067384
"279","Burundi","BDI","Population growth (annual %)","SP.POP.GROW","1961",1.929349432
"280","Belgium","BEL","Population growth (annual %)","SP.POP.GROW","1961",0.332205946
"281","Benin","BEN","Population growth (annual %)","SP.POP.GROW","1961",1.39849454
"282","Burkina Faso","BFA","Population growth (annual %)","SP.POP.GROW","1961",1.342942567
"283","Bangladesh","BGD","Population growth (annual %)","SP.POP.GROW","1961",2.771567051
"284","Bulgaria","BGR","Population growth (annual %)","SP.POP.GROW","1961",0.958155881
"285","Bahrain","BHR","Population growth (annual %)","SP.POP.GROW","1961",3.310415782
"286","Bahamas, The","BHS","Population growth (annual %)","SP.POP.GROW","1961",4.974874579
"287","Bosnia and Herzegovina","BIH","Population growth (annual %)","SP.POP.GROW","1961",1.932279396
"288","Belarus","BLR","Population growth (annual %)","SP.POP.GROW","1961",0.889131363
"289","Belize","BLZ","Population growth (annual %)","SP.POP.GROW","1961",2.826169131
"290","Bermuda","BMU","Population growth (annual %)","SP.POP.GROW","1961",2.477477477
"291","Bolivia","BOL","Population growth (annual %)","SP.POP.GROW","1961",1.949961316
"292","Brazil","BRA","Population growth (annual %)","SP.POP.GROW","1961",2.911132898
"293","Barbados","BRB","Population growth (annual %)","SP.POP.GROW","1961",0.31899884
"294","Brunei Darussalam","BRN","Population growth (annual %)","SP.POP.GROW","1961",4.616277798
"295","Bhutan","BTN","Population growth (annual %)","SP.POP.GROW","1961",2.460871873
"296","Botswana","BWA","Population growth (annual %)","SP.POP.GROW","1961",1.957853818
"297","Central African Republic","CAF","Population growth (annual %)","SP.POP.GROW","1961",1.611669196
"298","Canada","CAN","Population growth (annual %)","SP.POP.GROW","1961",2.00112211
"299","Central Europe and the Baltics","CEB","Population growth (annual %)","SP.POP.GROW","1961",0.909144379
"300","Switzerland","CHE","Population growth (annual %)","SP.POP.GROW","1961",1.978615059
"301","Channel Islands","CHI","Population growth (annual %)","SP.POP.GROW","1961",0.89073872
"302","Chile","CHL","Population growth (annual %)","SP.POP.GROW","1961",2.078593642
"303","China","CHN","Population growth (annual %)","SP.POP.GROW","1961",-1.015527787
"304","Cote d'Ivoire","CIV","Population growth (annual %)","SP.POP.GROW","1961",3.588278403
"305","Cameroon","CMR","Population growth (annual %)","SP.POP.GROW","1961",2.066593746
"306","Congo, Dem. Rep.","COD","Population growth (annual %)","SP.POP.GROW","1961",2.521979358
"307","Congo, Rep.","COG","Population growth (annual %)","SP.POP.GROW","1961",2.41239737
"308","Colombia","COL","Population growth (annual %)","SP.POP.GROW","1961",3.127272148
"309","Comoros","COM","Population growth (annual %)","SP.POP.GROW","1961",1.566766203
"310","Cabo Verde","CPV","Population growth (annual %)","SP.POP.GROW","1961",1.750017641
"311","Costa Rica","CRI","Population growth (annual %)","SP.POP.GROW","1961",3.717363895
"312","Caribbean small states","CSS","Population growth (annual %)","SP.POP.GROW","1961",1.891619284
"313","Cuba","CUB","Population growth (annual %)","SP.POP.GROW","1961",2.078031047
"314","Curacao","CUW","Population growth (annual %)","SP.POP.GROW","1961",1.03527111
"315","Cayman Islands","CYM","Population growth (annual %)","SP.POP.GROW","1961",2.026373533
"316","Cyprus","CYP","Population growth (annual %)","SP.POP.GROW","1961",0.602964435
"317","Czech Republic","CZE","Population growth (annual %)","SP.POP.GROW","1961",-0.160042501
"318","Germany","DEU","Population growth (annual %)","SP.POP.GROW","1961",0.769854344
"319","Djibouti","DJI","Population growth (annual %)","SP.POP.GROW","1961",5.650590348
"320","Dominica","DMA","Population growth (annual %)","SP.POP.GROW","1961",1.687043804
"321","Denmark","DNK","Population growth (annual %)","SP.POP.GROW","1961",0.698142052
"322","Dominican Republic","DOM","Population growth (annual %)","SP.POP.GROW","1961",3.345015486
"323","Algeria","DZA","Population growth (annual %)","SP.POP.GROW","1961",2.487164805
"324","East Asia & Pacific (excluding high income)","EAP","Population growth (annual %)","SP.POP.GROW","1961",-0.044279109
"325","Early-demographic dividend","EAR","Population growth (annual %)","SP.POP.GROW","1961",2.366477839
"326","East Asia & Pacific","EAS","Population growth (annual %)","SP.POP.GROW","1961",0.344540188
"327","Europe & Central Asia (excluding high income)","ECA","Population growth (annual %)","SP.POP.GROW","1961",1.614092476
"328","Europe & Central Asia","ECS","Population growth (annual %)","SP.POP.GROW","1961",1.154450055
"329","Ecuador","ECU","Population growth (annual %)","SP.POP.GROW","1961",2.831785956
"330","Egypt, Arab Rep.","EGY","Population growth (annual %)","SP.POP.GROW","1961",2.716295895
"331","Euro area","EMU","Population growth (annual %)","SP.POP.GROW","1961",0.911437083
"332","Eritrea","ERI","Population growth (annual %)","SP.POP.GROW","1961",2.522332065
"333","Spain","ESP","Population growth (annual %)","SP.POP.GROW","1961",0.929015535
"334","Estonia","EST","Population growth (annual %)","SP.POP.GROW","1961",1.11138977
"335","Ethiopia","ETH","Population growth (annual %)","SP.POP.GROW","1961",2.319980719
"336","European Union","EUU","Population growth (annual %)","SP.POP.GROW","1961",0.866430192
"337","Fragile and conflict affected situations","FCS","Population growth (annual %)","SP.POP.GROW","1961",2.26145237
"338","Finland","FIN","Population growth (annual %)","SP.POP.GROW","1961",0.705711484
"339","Fiji","FJI","Population growth (annual %)","SP.POP.GROW","1961",3.439200992
"340","France","FRA","Population growth (annual %)","SP.POP.GROW","1961",1.318705271
"341","Faroe Islands","FRO","Population growth (annual %)","SP.POP.GROW","1961",1.323002179
"342","Micronesia, Fed. Sts.","FSM","Population growth (annual %)","SP.POP.GROW","1961",3.135829548
